mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,estimator,seasonality,global_trend_option,damped_factor,level_sm_input,use_regressors
2.7139875274935443,1.6474184433511554,0.6686343286388536,39.73059686247635,0.16666666666666666,10,0.18333333333333332,11,SPY,daily,no_exog,d_CALM_17_19_4,CALM_17_19,3740,60,stan-map,,linear,0.9,,True
108.77284661928985,10.429422161332326,3.52862615718682,147.83935072129717,0.2833333333333333,17,0.3333333333333333,20,SPY,daily,no_exog,d_CALM_17_19_5,CALM_17_19,3977,60,stan-map,,linear,0.9,,True
6.367663101129173,2.523422893834716,1.3217427455092867,2.4804431083157783,0.1,6,0.16666666666666666,10,SPY,daily,with_exog,d_GFC_1,GFC,904,60,stan-map,,linear,0.9,,True
12.000692692850144,3.4642015952958256,1.7769884742733724,2.467628095407368,0.1,6,0.15,9,SPY,daily,with_exog,d_GFC_2,GFC,977,60,stan-map,,linear,0.9,,True
4.62092151279831,2.1496328786093475,1.126970326229381,3.2340672421564807,0.16666666666666666,10,0.2,12,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,stan-map,,linear,0.9,,True
368.37568768443333,19.19311563254995,13.508428966073092,3.4189535622912524,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,stan-map,,linear,0.9,,True
81.83801129446213,9.04643638647076,4.590369790821202,3.719176365647111,0.08333333333333333,5,0.13333333333333333,8,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,stan-map,,linear,0.9,,True
1.0841263501188516,1.0412138829841118,0.572186129589831,1.8372252591064469,0.1,6,0.18333333333333332,11,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,stan-map,,linear,0.9,,True
0.5101775179630572,0.7142671194749604,0.4144018201476481,1.0850490235840327,0.1,6,0.11666666666666667,7,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,stan-map,,linear,0.9,,True
0.6367821633355906,0.7979863177621472,0.42895484820438273,0.8102127925756777,0.08333333333333333,5,0.16666666666666666,10,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,stan-map,,linear,0.9,,True
2.5688415220300107,1.6027605941094292,1.029375938579552,1.816503472185452,0.15,9,0.23333333333333334,14,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,stan-map,,linear,0.9,,True
0.7359131015437974,0.8578537763184337,0.47887186624324196,0.5275992976257432,0.03333333333333333,2,0.13333333333333333,8,SPY,daily,with_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,stan-map,,linear,0.9,,True
550.9578072218271,23.472490435014073,10.350852114738164,3.1155863561170167,0.05,3,0.08333333333333333,5,SPY,daily,with_exog,d_COVID_1,COVID,4038,60,stan-map,,linear,0.9,,True
4.037675743365222,2.0093968605940495,0.9537594084971622,1.1844682629803576,0.05,3,0.08333333333333333,5,SPY,daily,with_exog,d_COVID_2,COVID,4102,60,stan-map,,linear,0.9,,True
