mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,max_depth,learning_rate,n_estimators
553.4143676757812,23.524761199951172,11.92180347442627,5.532979965209961,0.16666666666666666,10,0.21666666666666667,13,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,2,0.1,50
85.06983947753906,9.223331451416016,4.658364772796631,4.428781986236572,0.05,3,0.15,9,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,2,0.1,50
1.1317111253738403,1.063819169998169,0.5764541625976562,3.060276985168457,0.15,9,0.18333333333333332,11,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,2,0.1,50
0.5463550686836243,0.7391583323478699,0.4199196696281433,2.775969982147217,0.11666666666666667,7,0.21666666666666667,13,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,2,0.1,50
0.7068426609039307,0.840739369392395,0.44211843609809875,3.066660165786743,0.15,9,0.21666666666666667,13,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,2,0.1,50
3.090660810470581,1.7580275535583496,1.091203212738037,3.9529004096984863,0.23333333333333334,14,0.3,18,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,2,0.1,50
0.8644378781318665,0.9297515153884888,0.4948264956474304,2.2603447437286377,0.15,9,0.16666666666666666,10,SPY,daily,with_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,2,0.1,50
671.213134765625,25.90778160095215,10.326653480529785,6.568577289581299,0.11666666666666667,7,0.2,12,SPY,daily,with_exog,d_COVID_1,COVID,4038,60,2,0.1,50
4.621535778045654,2.149775743484497,1.0113078355789185,2.676628351211548,0.1,6,0.16666666666666666,10,SPY,daily,with_exog,d_COVID_2,COVID,4102,60,2,0.1,50
1.7344355583190918,1.3169797658920288,0.7186048626899719,1.4857308864593506,0.05,3,0.1,6,SPY,daily,with_exog,d_COVID_3,COVID,4179,60,2,0.1,50
19.93350601196289,4.464695453643799,2.5972819328308105,6.983564376831055,0.21666666666666667,13,0.23333333333333334,14,SPY,daily,with_exog,d_ENERGY_22_1,ENERGY_22,4514,60,2,0.1,50
14.819585800170898,3.849621534347534,1.9945670366287231,5.542817115783691,0.11666666666666667,7,0.21666666666666667,13,SPY,daily,with_exog,d_ENERGY_22_2,ENERGY_22,4604,60,2,0.1,50
3.71384859085083,1.9271348714828491,1.1184736490249634,3.4216725826263428,0.16666666666666666,10,0.21666666666666667,13,SPY,daily,with_exog,d_ENERGY_22_3,ENERGY_22,4692,60,2,0.1,50
0.3651968240737915,0.6043151617050171,0.3757224380970001,2.00222110748291,0.1,6,0.13333333333333333,8,SPY,daily,with_exog,d_ENERGY_22_4,ENERGY_22,4809,60,2,0.1,50
0.2701874077320099,0.5197955369949341,0.20619259774684906,1.2620055675506592,0.05,3,0.06666666666666667,4,SPY,daily,with_exog,d_CALM_17_19_1,CALM_17_19,3282,60,2,0.1,50
0.0624907985329628,0.2499815970659256,0.13224369287490845,0.8078312277793884,0.05,3,0.13333333333333333,8,SPY,daily,with_exog,d_CALM_17_19_2,CALM_17_19,3431,60,2,0.1,50
8.112918853759766,2.848318576812744,1.4974571466445923,6.202844142913818,0.2,12,0.23333333333333334,14,SPY,daily,with_exog,d_CALM_17_19_3,CALM_17_19,3668,60,2,0.1,50
2.5196497440338135,1.5873404741287231,0.6341693997383118,3.164564847946167,0.06666666666666667,4,0.1,6,SPY,daily,with_exog,d_CALM_17_19_4,CALM_17_19,3740,60,2,0.1,50
97.95401000976562,9.897171974182129,3.287564277648926,5.612368583679199,0.2,12,0.21666666666666667,13,SPY,daily,with_exog,d_CALM_17_19_5,CALM_17_19,3977,60,2,0.1,50
